#月份,       收入, 仅计税, 养老基数,  医疗基数, 失业基数, 公积金基数, 公积金比例, 平均工资, 计算配平, 算税清空标记, 重复减免标记, 月度专项扣除
   01,   42888.00,      0,    20355,     20355,    20355,      27790,       0.12,   7654.2,        0,            n,            n,         2000
   02,   41000.00,      0,    20355,     20355,    20355,      27790,       0.12,   7654.2,        0,            n,            n,         2000
   03,   41000.00,      0,    20355,     20355,    20355,      27790,       0.12,   7654.2,        0,            n,            n,         2000
   04,   41000.00,      0,    20355,     20355,    20355,      27790,       0.12,   7654.2,    -0.01,            n,            n,         2000
   05,   99581.05,      0,    20355,     20355,    20355,      27790,       0.12,   7654.2,        0,            n,            n,         2000
   06,   41000.00, 879.85,    20355,     20355,    20355,      27790,       0.12,       -1,        0,            n,            n,         2000
   07,   41000.00,      0,    20355,     21228,    20355,      27790,       0.12,       -1,        0,            n,            n,         2000
   08,   41000.00,   0.01,    27339,     21228,    24720,      29353,       0.12,  9782.47,    -0.01,            n,            n,         4000
   09,   41000.00,      0,    21228,     21228,    21228,      29353,       0.12,  9782.47,        0,            n,            n,        15000
   10,   41000.00,      0,    21228,     21228,    21228,      29353,       0.12,  9782.47,        0,            n,            n,         6000
   11,   44770.11,      0,    21228,     21228,    21228,      29353,       0.12,  9782.47,        0,            n,            n,         6000
   12,   75453.80,      0,    21228,     21228,    21228,      29353,       0.12,  9782.47,        0,            n,            n,         6000

#奖金,      收入, 奖金税, 奖金月份, 单独计税标记
   bo, 143612.33,      0,        4,            y # 实际奖金173250.00, 购买30股期权
