#月份,       收入, 仅计税, 养老基数,  医疗基数, 失业基数, 公积金基数, 公积金比例, 平均工资, 计算配平, 算税清空标记, 重复减免标记, 月度专项扣除
   01,   40188.00,    0.0,    18630,     18630,    18630,      25500,       0.12,   6963.0,        0,            n,            n,         1000
   02,   36500.00,    0.0,    18630,     18630,    18630,      25500,       0.12,   6963.0,        0,            n,            n,         1000
   03,   36500.00,    0.0,    18630,     18630,    18630,      25500,       0.12,   6963.0,        0,            n,            n,         1000
   04,   36500.00,    0.0,    18630,     18630,    18630,      25500,       0.12,   6963.0,        0,            n,            n,         1000
   05,   36500.00,    0.0,    18630,     18630,    18630,      25500,       0.12,   6963.0,        0,            n,            n,         1000
   06,   37213.00,    0.0,    18630,     18630,    18630,      25500,       0.12,   6963.0,      713,            n,            n,         1000
   07,   36500.00,    0.0,    20355,     20355,    20355,      27790,       0.12,   7654.7,        0,            n,            n,         1000
   08,   36500.00,    0.0,    20355,     20355,    20355,      27790,       0.12,   7654.7,        0,            n,            n,         1000
   09,   36500.00,    0.0,    20355,     20355,    20355,      27790,       0.12,   7654.7,        0,            n,            n,         1000
   10,   46500.00,    0.0,    20355,     20355,    20355,      27790,       0.12,   7654.7,        0,            n,            n,         2000
   11,  129536.80,    0.0,    20355,     20355,    20355,      27790,       0.12,   7654.7,        0,            n,            n,         2000
   12,   41500.00,    0.0,    20355,     20355,    20355,      27790,       0.12,   7654.7,        0,            n,            n,         2000

#奖金,       收入,       奖金税,       奖金月份,  单独计税标记
   bo,    167500.00,        0,              4,             y
