#月份,       收入, 仅计税, 养老基数,  医疗基数, 失业基数, 公积金基数, 公积金比例, 平均工资, 计算配平, 算税清空标记, 重复减免标记, 月度专项扣除
   01,      22100,    0.0,    15100,     15100,    15100,      14100,       0.05,       -1,      500,            n,            n,            0
   02,   35833.15,    0.0,    15100,     15100,    15100,      14100,       0.05,       -1,        0,            n,            n,            0
   03,      20100,    0.0,    15100,     15100,    15100,      14100,       0.05,       -1,        0,            n,            n,            0
   04,      20100,    0.0,    15100,     15100,    15100,      14100,       0.05,       -1,        0,            n,            n,            0
   05,      20100,    0.0,    15100,     15100,    15100,      14100,       0.05,       -1,        0,            n,            n,            0
   06,   24222.13,    0.0,    15100,     15100,    15100,      14100,       0.05,       -1,        0,            n,            n,            0
   07,      20300,    0.0,    15100,     15100,    15100,      15100,       0.05,       -1,        0,            n,            n,            0
   08,   32273.80,    0.0,    17317,     17317,    17317,      23681,       0.12,       -1,        0,            n,            n,            0
   09,   34920.69,    0.0,    17317,     17317,    17317,      23681,       0.12,       -1,        0,            n,            n,            0
   10,   33210.34,    0.0,    17317,     17317,    17317,      23681,       0.12,       -1,        0,            n,            n,            0
   11,   34920.69,    0.0,    17317,     17317,    17317,      23681,       0.12,       -1,        0,            n,            n,            0
   12,   37201.15,    0.0,    17317,     17317,    17317,      23681,       0.12,       -1,        0,            n,            n,            0

#奖金,      收入, 奖金税, 奖金月份, 单独计税标记
   bo,  125239.2,      0,        5,            y
   bo,  64744.38, 471.94,        8,            y
