#月份,       收入, 仅计税, 养老基数,  医疗基数, 失业基数, 公积金基数, 公积金比例, 平均工资, 计算配平, 算税清空标记, 重复减免标记, 月度专项扣除
   01,   41000.00,      0,    21228,     21228,    21228,      29353,       0.12,  9782.47,        0,            n,            n,         6000
   02,   44688.00,      0,    21228,     21228,    21228,      29353,       0.12,  9782.47,        0,            n,            n,         6000
   03,   51795.50,      0,    21228,     21228,    21228,      29353,       0.12,  9782.47,        0,            n,            n,         6000
   04,   41308.41,      0,    21228,     21228,    21228,      29353,       0.12,  9782.47,        0,            n,            n,         6000
   05,   95535.50,      0,    21228,     21228,    21228,      29353,       0.12,  9782.47,        0,            n,            n,         6000
   06,   46572.39,1737.75,    21228,     21228,    21228,      29353,       0.12,  9782.47,        0,            n,            n,         6000
   07,   73414.64,      0,    21228,     22555,    21228,      31362,       0.12, 10452.45,        0,            n,            n,         6000
   08,   41000.00,      0,    21228,     22555,    21228,      31362,       0.12, 10452.45,        0,            n,            n,         6000
   09,   56000.00,      0,    21228,     22555,    21228,      31362,       0.12, 10452.45,        0,            n,            n,         6000
   10,   46000.00,      0,    21228,     22555,    21228,      31362,       0.12, 10452.45,        0,            n,            n,         6000
   11,   46000.00,      0,    21228,     22555,    21228,      31362,       0.12, 10452.45,        0,            n,            n,         6000
   12,   46000.00,      0,    21228,     22555,    21228,      31362,       0.12, 10452.45,        0,            n,            n,         6000

#奖金,      收入, 奖金税, 奖金月份, 单独计税标记
   bo, 144000.00,      0,        3,            y # 实际年终奖154795.50，拆分10795.5至工资发放，合并全年所得计税
